sentence_text,title,article_link,paragraph_text,PMID,DateCompleted,ChemicalList,AbstractText,PubDate,cleaned_sentence_text,sentence_html
Pharmacological treatment of fibromyalgia and other chronic musculoskeletal pain .,Pharmacological treatment of fibromyalgia and other chronic musculoskeletal pain.,https://pubmed.ncbi.nlm.nih.gov/17602996/,"Pharmacological treatment of fibromyalgia and other chronic musculoskeletal pain. The pharmacologic management of fibromyalgia is based on the emerging evidence that pain in this disorder is primarily related to central pain sensitization. There is strong evidence that tricyclic antidepressants are effective, and moderate evidence for the effectiveness of serotonin reuptake inhibitors and dual serotonin-norepinephrine reuptake inhibitors. Recent work suggests that the anti-seizure medications pregabalin and gabepentin are also effective. The only analgesic demonstrated to be helpful is tramadol.",17602996,2007-09-04,"['Adrenergic Uptake Inhibitors', 'Amines', 'Analgesics, Opioid', 'Anticonvulsants', 'Antidepressive Agents, Tricyclic', 'Cyclohexanecarboxylic Acids', 'Serotonin Uptake Inhibitors', 'Tramadol', 'Pregabalin', 'gamma-Aminobutyric Acid', 'Gabapentin']","The pharmacologic management of fibromyalgia is based on the emerging evidence that pain in this disorder is primarily related to central pain sensitization. There is strong evidence that tricyclic antidepressants are effective, and moderate evidence for the effectiveness of serotonin reuptake inhibitors and dual serotonin-norepinephrine reuptake inhibitors. Recent work suggests that the anti-seizure medications pregabalin and gabepentin are also effective. The only analgesic demonstrated to be helpful is tramadol.","{'Year': '2007', 'Month': 'Jun'}",pharmacological treatment of fibromyalgia and other chronic musculoskeletal pain .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">pharmacological treatment of fibromyalgia and other chronic musculoskeletal pain .</div>"
"Patients with rheumatoid arthritis and systemic lupus erythematosus should be evaluated for fibromyalgia , since 20 - 30 % of them have associated fibromyalgia , requiring a different treatment approach .","Role of central sensitization in symptoms beyond muscle pain, and the evaluation of a patient with widespread pain.",https://pubmed.ncbi.nlm.nih.gov/17602995/,"Patients with widespread pain or fibromyalgia syndrome have many symptoms besides musculoskeletal pain: e.g. fatigue, sleep difficulties, a swollen feeling in tissues, paresthesia, cognitive dysfunction, dizziness, and symptoms of overlapping conditions such as irritable bowel syndrome, headaches and restless legs syndrome. There is evidence for central sensitization in these conditions, but further studies are needed. Anxiety, stress and depression are also present in 30-45% of patients. Other factors that may contribute to symptoms include endocrine dysfunction, psychosocial distress, trauma, and disrupted sleep. Evaluation of a patient presenting with widespread pain includes history and physical examination to diagnose both fibromyalgia and associated or concomitant conditions. Fibromyalgia should be diagnosed by its own characteristic features. Some patients with otherwise typical symptoms of fibromyalgia may have as few as four to six tender points in clinical practice. Patients with rheumatoid arthritis and systemic lupus erythematosus should be evaluated for fibromyalgia, since 20-30% of them have associated fibromyalgia, requiring a different treatment approach.",17602995,2007-09-04,,"Patients with widespread pain or fibromyalgia syndrome have many symptoms besides musculoskeletal pain: e.g. fatigue, sleep difficulties, a swollen feeling in tissues, paresthesia, cognitive dysfunction, dizziness, and symptoms of overlapping conditions such as irritable bowel syndrome, headaches and restless legs syndrome. There is evidence for central sensitization in these conditions, but further studies are needed. Anxiety, stress and depression are also present in 30-45% of patients. Other factors that may contribute to symptoms include endocrine dysfunction, psychosocial distress, trauma, and disrupted sleep. Evaluation of a patient presenting with widespread pain includes history and physical examination to diagnose both fibromyalgia and associated or concomitant conditions. Fibromyalgia should be diagnosed by its own characteristic features. Some patients with otherwise typical symptoms of fibromyalgia may have as few as four to six tender points in clinical practice. Patients with rheumatoid arthritis and systemic lupus erythematosus should be evaluated for fibromyalgia, since 20-30% of them have associated fibromyalgia, requiring a different treatment approach.","{'Year': '2007', 'Month': 'Jun'}","patients with rheumatoid arthritis and systemic lupus erythematosus should be evaluated for fibromyalgia , since 20 - 30 % of them have associated fibromyalgia , requiring a different treatment approach .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with rheumatoid arthritis and systemic lupus erythematosus should be evaluated for fibromyalgia , since 20 - 30 % of them have associated fibromyalgia , requiring a different treatment approach .</div>"
Non-pharmacological treatment for patients with chronic widespread pain ( CWP ) and fibromyalgia ( FM ) aims to enhance overall health .,Non-pharmacological treatment of chronic widespread musculoskeletal pain.,https://pubmed.ncbi.nlm.nih.gov/17602997/,"Non-pharmacological treatment for patients with chronic widespread pain (CWP) and fibromyalgia (FM) aims to enhance overall health. This chapter reviews studies of exercise, education, movement therapies and sensory stimulation. Based on a systematic review of randomized controlled trials (RCTs), we suggest that aerobic exercise of low to moderate intensity, such as walking and pool exercise, can improve symptoms and distress in patients with CWP and FM, and it may improve physical capacity in sedentary patients. Aerobic exercise of moderate to high intensity has been shown to improve aerobic capacity and tender-point status. Educational programmes have been shown to enhance self-efficacy and health perception. There is no conclusive evidence about the type of educational programme that works best, but a small-group format and interactive discussions appear to be important components. Exercise combined with education appears to produce synergies. Studies of movement therapies (such as qigong) and sensory treatments (such as acupuncture and massage) are few in number. There is today no conclusive evidence about the effects of these treatments in CWP, although positive effects have been reported in a few studies.",17602997,2007-09-04,,"Non-pharmacological treatment for patients with chronic widespread pain (CWP) and fibromyalgia (FM) aims to enhance overall health. This chapter reviews studies of exercise, education, movement therapies and sensory stimulation. Based on a systematic review of randomized controlled trials (RCTs), we suggest that aerobic exercise of low to moderate intensity, such as walking and pool exercise, can improve symptoms and distress in patients with CWP and FM, and it may improve physical capacity in sedentary patients. Aerobic exercise of moderate to high intensity has been shown to improve aerobic capacity and tender-point status. Educational programmes have been shown to enhance self-efficacy and health perception. There is no conclusive evidence about the type of educational programme that works best, but a small-group format and interactive discussions appear to be important components. Exercise combined with education appears to produce synergies. Studies of movement therapies (such as qigong) and sensory treatments (such as acupuncture and massage) are few in number. There is today no conclusive evidence about the effects of these treatments in CWP, although positive effects have been reported in a few studies.","{'Year': '2007', 'Month': 'Jun'}",non-pharmacological treatment for patients with chronic widespread pain ( cwp ) and fibromyalgia ( fm ) aims to enhance overall health .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">non-pharmacological treatment for 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with chronic widespread pain ( cwp ) and fibromyalgia ( fm ) aims to enhance overall health .</div>"
This study provides new insights into the role of visceral pain comorbidities and the effects of their treatment on fibromyalgia pain/hypersensitivity .,"Laparoscopic Cholecystectomy for Gallbladder Calculosis in Fibromyalgia Patients: Impact on Musculoskeletal Pain, Somatic Hyperalgesia and Central Sensitization.",https://pubmed.ncbi.nlm.nih.gov/27081848/,"Fibromyalgia, a chronic syndrome of diffuse musculoskeletal pain and somatic hyperalgesia from central sensitization, is very often comorbid with visceral pain conditions. In fibromyalgia patients with gallbladder calculosis, this study assessed the short and long-term impact of laparoscopic cholecystectomy on fibromyalgia pain symptoms. Fibromyalgia pain (VAS scale) and pain thresholds in tender points and control areas (skin, subcutis and muscle) were evaluated 1week before (basis) and 1week, 1,3,6 and 12months after laparoscopic cholecystectomy in fibromyalgia patients with symptomatic calculosis (n = 31) vs calculosis patients without fibromyalgia (n. 26) and at comparable time points in fibromyalgia patients not undergoing cholecystectomy, with symptomatic (n = 27) and asymptomatic (n = 28) calculosis, and no calculosis (n = 30). At basis, fibromyalgia+symptomatic calculosis patients presented a significant linear correlation between the number of previously experienced biliary colics and fibromyalgia pain (direct) and muscle thresholds (inverse)(p&lt;0.0001). After cholecystectomy, fibromyalgia pain significantly increased and all thresholds significantly decreased at 1week and 1month (1-way ANOVA, p&lt;0.01-p&lt;0.001), the decrease in muscle thresholds correlating linearly with the peak postoperative pain at surgery site (p&lt;0.003-p&lt;0.0001). Fibromyalgia pain and thresholds returned to preoperative values at 3months, then pain significantly decreased and thresholds significantly increased at 6 and 12months (p&lt;0.05-p&lt;0.0001). Over the same 12-month period: in non-fibromyalgia patients undergoing cholecystectomy thresholds did not change; in all other fibromyalgia groups not undergoing cholecystectomy fibromyalgia pain and thresholds remained stable, except in fibromyalgia+symptomatic calculosis at 12months when pain significantly increased and muscle thresholds significantly decreased (p&lt;0.05-p&lt;0.0001). The results of the study show that biliary colics from gallbladder calculosis represent an exacerbating factor for fibromyalgia symptoms and that laparoscopic cholecystectomy produces only a transitory worsening of these symptoms, largely compensated by the long-term improvement/desensitization due to gallbladder removal. This study provides new insights into the role of visceral pain comorbidities and the effects of their treatment on fibromyalgia pain/hypersensitivity.",27081848,2016-08-25,,"Fibromyalgia, a chronic syndrome of diffuse musculoskeletal pain and somatic hyperalgesia from central sensitization, is very often comorbid with visceral pain conditions. In fibromyalgia patients with gallbladder calculosis, this study assessed the short and long-term impact of laparoscopic cholecystectomy on fibromyalgia pain symptoms. Fibromyalgia pain (VAS scale) and pain thresholds in tender points and control areas (skin, subcutis and muscle) were evaluated 1week before (basis) and 1week, 1,3,6 and 12months after laparoscopic cholecystectomy in fibromyalgia patients with symptomatic calculosis (n = 31) vs calculosis patients without fibromyalgia (n. 26) and at comparable time points in fibromyalgia patients not undergoing cholecystectomy, with symptomatic (n = 27) and asymptomatic (n = 28) calculosis, and no calculosis (n = 30). At basis, fibromyalgia+symptomatic calculosis patients presented a significant linear correlation between the number of previously experienced biliary colics and fibromyalgia pain (direct) and muscle thresholds (inverse)(p<0.0001). After cholecystectomy, fibromyalgia pain significantly increased and all thresholds significantly decreased at 1week and 1month (1-way ANOVA, p<0.01-p<0.001), the decrease in muscle thresholds correlating linearly with the peak postoperative pain at surgery site (p<0.003-p<0.0001). Fibromyalgia pain and thresholds returned to preoperative values at 3months, then pain significantly decreased and thresholds significantly increased at 6 and 12months (p<0.05-p<0.0001). Over the same 12-month period: in non-fibromyalgia patients undergoing cholecystectomy thresholds did not change; in all other fibromyalgia groups not undergoing cholecystectomy fibromyalgia pain and thresholds remained stable, except in fibromyalgia+symptomatic calculosis at 12months when pain significantly increased and muscle thresholds significantly decreased (p<0.05-p<0.0001). The results of the study show that biliary colics from gallbladder calculosis represent an exacerbating factor for fibromyalgia symptoms and that laparoscopic cholecystectomy produces only a transitory worsening of these symptoms, largely compensated by the long-term improvement/desensitization due to gallbladder removal. This study provides new insights into the role of visceral pain comorbidities and the effects of their treatment on fibromyalgia pain/hypersensitivity. ",{'Year': '2016'},this study provides new insights into the role of visceral pain comorbidities and the effects of their treatment on fibromyalgia pain/hypersensitivity .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">this study provides new insights into the role of 
<mark class=""entity"" style=""background: $((ORGANISM_SUBDIVISION)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    visceral
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM_SUBDIVISION</span>
</mark>
 pain comorbidities and the effects of their treatment on fibromyalgia pain/hypersensitivity .</div>"
"In this paper , we present an approach to develop dynamical models and subsequently , hybrid model predictive control schemes for assigning optimal dosages of naltrexone as treatment for a chronic pain condition known as fibromyalgia .",A Control Engineering Approach for Designing an Optimized Treatment Plan for Fibromyalgia.,https://pubmed.ncbi.nlm.nih.gov/22034548/,"Control engineering offers a systematic and efficient means for optimizing the effectiveness of behavioral interventions. In this paper, we present an approach to develop dynamical models and subsequently, hybrid model predictive control schemes for assigning optimal dosages of naltrexone as treatment for a chronic pain condition known as fibromyalgia. We apply system identification techniques to develop models from daily diary reports completed by participants of a naltrexone intervention trial. The dynamic model serves as the basis for applying model predictive control as a decision algorithm for automated dosage selection of naltrexone in the face of the external disturbances. The categorical/discrete nature of the dosage assignment creates a need for hybrid model predictive control (HMPC) schemes. Simulation results that include conditions of significant plant-model mismatch demonstrate the performance and applicability of hybrid predictive control for optimized adaptive interventions for fibromyalgia treatment involving naltrexone.",22034548,,,"Control engineering offers a systematic and efficient means for optimizing the effectiveness of behavioral interventions. In this paper, we present an approach to develop dynamical models and subsequently, hybrid model predictive control schemes for assigning optimal dosages of naltrexone as treatment for a chronic pain condition known as fibromyalgia. We apply system identification techniques to develop models from daily diary reports completed by participants of a naltrexone intervention trial. The dynamic model serves as the basis for applying model predictive control as a decision algorithm for automated dosage selection of naltrexone in the face of the external disturbances. The categorical/discrete nature of the dosage assignment creates a need for hybrid model predictive control (HMPC) schemes. Simulation results that include conditions of significant plant-model mismatch demonstrate the performance and applicability of hybrid predictive control for optimized adaptive interventions for fibromyalgia treatment involving naltrexone.","{'Year': '2011', 'Month': 'Jun', 'Day': '29'}","in this paper , we present an approach to develop dynamical models and subsequently , hybrid model predictive control schemes for assigning optimal dosages of naltrexone as treatment for a chronic pain condition known as fibromyalgia .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">in this paper , we present an approach to develop dynamical models and subsequently , hybrid model predictive control schemes for assigning optimal dosages of 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    naltrexone
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 as treatment for a chronic pain condition known as fibromyalgia .</div>"
Scientists and clinicians could most effectively forward the understanding and treatment of fibromyalgia and other common chronic pain disorders through an appreciation of their shared pathophysiology .,Central sensitivity syndromes: mounting pathophysiologic evidence to link fibromyalgia with other common chronic pain disorders.,https://pubmed.ncbi.nlm.nih.gov/21349445/,"The aim of this study was to review emerging data from the fields of nursing, rheumatology, dentistry, gastroenterology, gynecology, neurology, and orthopedics that support or dispute pathophysiologic similarities in pain syndromes studied by each specialty. A literature search was performed through PubMed and Ovid using the terms fibromyalgia, temporomandibular joint disorder, irritable bowel syndrome, irritable bladder/interstitial cystitis, headache, chronic low back pain, chronic neck pain, functional syndromes, and somatization. Each term was linked with pathophysiology and/or central sensitization. This paper presents a review of relevant articles with a specific goal of identifying pathophysiologic findings related to nociceptive processing. The extant literature presents considerable overlap in the pathophysiology of these diagnoses. Given the psychosomatic lens through which many of these disorders are viewed, demonstration of evidence-based links supporting shared pathophysiology between these disorders could provide direction to clinicians and researchers working to treat these diagnoses. ""Central sensitivity syndromes"" denotes an emerging nomenclature that could be embraced by researchers investigating each of these disorders. Moreover, a shared paradigm would be useful in promoting cross-fertilization between researchers. Scientists and clinicians could most effectively forward the understanding and treatment of fibromyalgia and other common chronic pain disorders through an appreciation of their shared pathophysiology.",21349445,2011-06-21,,"The aim of this study was to review emerging data from the fields of nursing, rheumatology, dentistry, gastroenterology, gynecology, neurology, and orthopedics that support or dispute pathophysiologic similarities in pain syndromes studied by each specialty. A literature search was performed through PubMed and Ovid using the terms fibromyalgia, temporomandibular joint disorder, irritable bowel syndrome, irritable bladder/interstitial cystitis, headache, chronic low back pain, chronic neck pain, functional syndromes, and somatization. Each term was linked with pathophysiology and/or central sensitization. This paper presents a review of relevant articles with a specific goal of identifying pathophysiologic findings related to nociceptive processing. The extant literature presents considerable overlap in the pathophysiology of these diagnoses. Given the psychosomatic lens through which many of these disorders are viewed, demonstration of evidence-based links supporting shared pathophysiology between these disorders could provide direction to clinicians and researchers working to treat these diagnoses. ""Central sensitivity syndromes"" denotes an emerging nomenclature that could be embraced by researchers investigating each of these disorders. Moreover, a shared paradigm would be useful in promoting cross-fertilization between researchers. Scientists and clinicians could most effectively forward the understanding and treatment of fibromyalgia and other common chronic pain disorders through an appreciation of their shared pathophysiology.","{'Year': '2011', 'Month': 'Mar'}",scientists and clinicians could most effectively forward the understanding and treatment of fibromyalgia and other common chronic pain disorders through an appreciation of their shared pathophysiology .,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">scientists and clinicians could most effectively forward the understanding and treatment of fibromyalgia and other common chronic pain disorders through an appreciation of their shared pathophysiology .</div>"
"Low-dose naltrexone for the treatment of fibromyalgia : findings of a small , randomized , double-blind , placebo-controlled , counterbalanced , crossover trial assessing daily pain levels .","Low-dose naltrexone for the treatment of fibromyalgia: findings of a small, randomized, double-blind, placebo-controlled, counterbalanced, crossover trial assessing daily pain levels.",https://pubmed.ncbi.nlm.nih.gov/23359310/,"Low-dose naltrexone for the treatment of fibromyalgia: findings of a small, randomized, double-blind, placebo-controlled, counterbalanced, crossover trial assessing daily pain levels. To determine whether low dosages (4.5 mg/day) of naltrexone reduce fibromyalgia severity as compared with the nonspecific effects of placebo. In this replication and extension study of a previous clinical trial, we tested the impact of low-dose naltrexone on daily self-reported pain. Secondary outcomes included general satisfaction with life, positive mood, sleep quality, and fatigue.",23359310,2013-04-11,"['Narcotic Antagonists', 'Placebos', 'Naltrexone']","To determine whether low dosages (4.5 mg/day) of naltrexone reduce fibromyalgia severity as compared with the nonspecific effects of placebo. In this replication and extension study of a previous clinical trial, we tested the impact of low-dose naltrexone on daily self-reported pain. Secondary outcomes included general satisfaction with life, positive mood, sleep quality, and fatigue.","{'Year': '2013', 'Month': 'Feb'}","low-dose naltrexone for the treatment of fibromyalgia : findings of a small , randomized , double-blind , placebo-controlled , counterbalanced , crossover trial assessing daily pain levels .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">low-dose 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    naltrexone
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 for the treatment of fibromyalgia : findings of a small , randomized , double-blind , placebo-controlled , counterbalanced , crossover trial assessing daily pain levels .</div>"
"This paper discusses the possible causations of fibromyalgia , as well as the need for a biopsychosocial assessment to fully understand the pain experience and to inform treatment and the evidence base regarding therapeutic interventions .",Fibromyalgia: an overview and comparison of treatment options.,https://pubmed.ncbi.nlm.nih.gov/22067492/,"Fibromyalgia is a common condition characterized by a multitude of physical and psychological symptoms which tend to persist overtime. The dominant symptom is that of widespread musculoskeletal pain. This paper discusses the possible causations of fibromyalgia, as well as the need for a biopsychosocial assessment to fully understand the pain experience and to inform treatment and the evidence base regarding therapeutic interventions.",22067492,2011-12-13,['Antidepressive Agents'],"Fibromyalgia is a common condition characterized by a multitude of physical and psychological symptoms which tend to persist overtime. The dominant symptom is that of widespread musculoskeletal pain. This paper discusses the possible causations of fibromyalgia, as well as the need for a biopsychosocial assessment to fully understand the pain experience and to inform treatment and the evidence base regarding therapeutic interventions.",{'MedlineDate': '2011 Sep 8-22'},"this paper discusses the possible causations of fibromyalgia , as well as the need for a biopsychosocial assessment to fully understand the pain experience and to inform treatment and the evidence base regarding therapeutic interventions .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">this paper discusses the possible causations of fibromyalgia , as well as the need for a biopsychosocial assessment to fully understand the pain experience and to inform treatment and the evidence base regarding therapeutic interventions .</div>"
"Response to treatment of pain in the pregabalin trials did not depend on baseline levels of anxiety or depressive symptoms , and pregabalin improved pain in fibromyalgia patients with or without depressive or anxiety symptoms .",Relationships among pain and depressive and anxiety symptoms in clinical trials of pregabalin in fibromyalgia.,https://pubmed.ncbi.nlm.nih.gov/21051680/,"Response to treatment of pain in the pregabalin trials did not depend on baseline levels of anxiety or depressive symptoms, and pregabalin improved pain in fibromyalgia patients with or without depressive or anxiety symptoms. Changes in the level of anxiety or depression had a low-to-moderate impact on pain reduction. Pain reduction with pregabalin treatment appeared to result mostly from a direct treatment effect, rather than an indirect effect mediated through improvement in anxiety or depressive symptoms.",21051680,2011-03-24,"['Analgesics', 'Placebos', 'Pregabalin', 'gamma-Aminobutyric Acid']","Fibromyalgia, as defined by the American College of Rheumatology, is characterized by widespread pain lasting for at least 3 months, with pain in at least 11 out of 18 tender points when palpated with digital pressure.",{'MedlineDate': '2010 Nov-Dec'},"response to treatment of pain in the pregabalin trials did not depend on baseline levels of anxiety or depressive symptoms , and pregabalin improved pain in fibromyalgia patients with or without depressive or anxiety symptoms .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">response to treatment of pain in the 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    pregabalin
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 trials did not depend on baseline levels of anxiety or depressive symptoms , and 
<mark class=""entity"" style=""background: $((SIMPLE_CHEMICAL)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    pregabalin
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">SIMPLE_CHEMICAL</span>
</mark>
 improved pain in fibromyalgia 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with or without depressive or anxiety symptoms .</div>"
"Currently evidence does not definitely support a role of the SNRIs , while limited data propose a putative promise of SNRIs in the treatment of pain related disorders including fibromyalgia and depressed patients with multiple somatic complaints .",Serotonin-norepinephrine reuptake inhibitors for pain control: premise and promise.,https://pubmed.ncbi.nlm.nih.gov/20514212/,"The precise mechanisms of pain perception and transmission in the central nervous system have not been fully elucidated. However, extensive data support a role for the monoamine neurotransmitters, serotonin and norepinephrine, in the modulation of pain. Experiments with animal models of pain indicate that noradrenergic interventions, and to a lesser extent serotonergic interventions, reduce pain-related behavior. This is supported by data from clinical trials in humans in which antidepressants have been shown to reduce pain and functional impairment in central and neuropathic pain conditions. These effects are particularly well-studied in trials with serotonin-norepinephrine reuptake inhibitors (SNRIs), which have provided a useful tool in the clinician's arsenal, particularly considering the limitations of other classes of pain medications such as opioids, anti-inflammatories, and anticonvulsants (i.e., limited efficacy, safety and tolerability issues). Moreover, painful physical symptoms are frequently comorbid with major psychiatric disorders such as major depressive disorder and anxiety disorders. This paper reviewed and summarized the rationale and potential role of SNRIs for the control of pain including clinical and preclinical background. Currently evidence does not definitely support a role of the SNRIs, while limited data propose a putative promise of SNRIs in the treatment of pain related disorders including fibromyalgia and depressed patients with multiple somatic complaints. More researches are warranted to generalize currently available preliminary evidences.",20514212,2011-06-02,,"The precise mechanisms of pain perception and transmission in the central nervous system have not been fully elucidated. However, extensive data support a role for the monoamine neurotransmitters, serotonin and norepinephrine, in the modulation of pain. Experiments with animal models of pain indicate that noradrenergic interventions, and to a lesser extent serotonergic interventions, reduce pain-related behavior. This is supported by data from clinical trials in humans in which antidepressants have been shown to reduce pain and functional impairment in central and neuropathic pain conditions. These effects are particularly well-studied in trials with serotonin-norepinephrine reuptake inhibitors (SNRIs), which have provided a useful tool in the clinician's arsenal, particularly considering the limitations of other classes of pain medications such as opioids, anti-inflammatories, and anticonvulsants (i.e., limited efficacy, safety and tolerability issues). Moreover, painful physical symptoms are frequently comorbid with major psychiatric disorders such as major depressive disorder and anxiety disorders. This paper reviewed and summarized the rationale and potential role of SNRIs for the control of pain including clinical and preclinical background. Currently evidence does not definitely support a role of the SNRIs, while limited data propose a putative promise of SNRIs in the treatment of pain related disorders including fibromyalgia and depressed patients with multiple somatic complaints. More researches are warranted to generalize currently available preliminary evidences.","{'Year': '2009', 'Month': 'Dec'}","currently evidence does not definitely support a role of the snris , while limited data propose a putative promise of snris in the treatment of pain related disorders including fibromyalgia and depressed patients with multiple somatic complaints .","<div class=""entities"" style=""line-height: 2.5; direction: ltr"">currently evidence does not definitely support a role of the snris , while limited data propose a putative promise of snris in the treatment of pain related disorders including fibromyalgia and depressed 
<mark class=""entity"" style=""background: $((ORGANISM)); padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    patients
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; text-transform: uppercase; vertical-align: middle; margin-left: 0.5rem"">ORGANISM</span>
</mark>
 with multiple somatic complaints .</div>"
